,dataset,join,operator,time_baseline,time_amalur,complexity_baseline,complexity_amalur,TR,FR,num_cores
0,book,inner,Left multiply,0.0028836727142333984,0.0008909702301025391,2024960.0,333488.0,0.5578323861362363,1.91424594961102,16
1,book,inner,Row summation,0.0055696964263916016,0.0033485889434814453,2024960.0,333488.0,0.5578323861362363,1.91424594961102,16
2,book,inner,Column summation,0.0073909759521484375,0.005327939987182617,2024960.0,333488.0,0.5578323861362363,1.91424594961102,16
3,book,inner,Materialization,,0.16545367240905762,,,,,16
4,book,inner,LMM,0.11661744117736816,0.0938863754272461,206725635200.0,63576347120.0,0.5578323861362363,1.91424594961102,16
5,book,inner,RMM,0.07719635963439941,0.025262117385864258,232052764170.0,93922086234.0,0.5578323861362363,1.91424594961102,16
6,book,inner,Left multiply T,0.006638526916503906,0.0010194778442382812,2024960.0,333488.0,0.5578323861362363,1.91424594961102,16
7,book,inner,Row summation T,0.007232666015625,0.0048482418060302734,2024960.0,333488.0,0.5578323861362363,1.91424594961102,16
8,book,inner,Column summation T,0.005784273147583008,0.0046808719635009766,2024960.0,333488.0,0.5578323861362363,1.91424594961102,16
9,book,inner,LMM T,0.009286880493164062,0.07466292381286621,206725635200.0,206708720480.0,0.5578323861362363,1.91424594961102,16
10,book,inner,RMM T,0.10269641876220703,0.08681964874267578,1153255219200.0,281461340160.0,0.5578323861362363,1.91424594961102,16
11,book,inner,Linear Regression,1.2082724571228027,3.8919334411621094,41345127040.0,27028506760.0,0.5578323861362363,1.91424594961102,16
12,book,left,Left multiply,0.012796640396118164,0.002336263656616211,2024960.0,333488.0,0.5578323861362363,1.91424594961102,16
13,book,left,Row summation,0.006882190704345703,0.003783702850341797,2024960.0,333488.0,0.5578323861362363,1.91424594961102,16
14,book,left,Column summation,0.07245016098022461,0.004907369613647461,2024960.0,333488.0,0.5578323861362363,1.91424594961102,16
15,book,left,Materialization,,0.048445701599121094,,,,,16
16,book,left,LMM,0.051932334899902344,0.014131546020507812,206725635200.0,63576347120.0,0.5578323861362363,1.91424594961102,16
17,book,left,RMM,0.0068705081939697266,0.0218050479888916,232052764170.0,93922086234.0,0.5578323861362363,1.91424594961102,16
18,book,left,Left multiply T,0.003712892532348633,0.0021088123321533203,2024960.0,333488.0,0.5578323861362363,1.91424594961102,16
19,book,left,Row summation T,0.007426023483276367,0.004892110824584961,2024960.0,333488.0,0.5578323861362363,1.91424594961102,16
20,book,left,Column summation T,0.005984783172607422,0.004748106002807617,2024960.0,333488.0,0.5578323861362363,1.91424594961102,16
21,book,left,LMM T,0.008254051208496094,0.023517131805419922,206725635200.0,206708720480.0,0.5578323861362363,1.91424594961102,16
22,book,left,RMM T,0.09450316429138184,0.0196533203125,1153255219200.0,281461340160.0,0.5578323861362363,1.91424594961102,16
23,book,left,Linear Regression,1.1524121761322021,4.5472588539123535,41345127040.0,27028506760.0,0.5578323861362363,1.91424594961102,16
24,book,outer,Left multiply,0.0017902851104736328,0.0023679733276367188,1621904.0,266793.0,0.5578318074941218,1.91424594961102,16
25,book,outer,Row summation,0.008219480514526367,0.00406193733215332,1621904.0,266793.0,0.5578318074941218,1.91424594961102,16
26,book,outer,Column summation,0.0712435245513916,0.005059957504272461,1621904.0,266793.0,0.5578318074941218,1.91424594961102,16
27,book,outer,Materialization,,0.03933286666870117,,,,,16
28,book,outer,LMM,0.013973712921142578,0.059957027435302734,206721604640.0,50861567700.0,0.5578318074941218,1.91424594961102,16
29,book,outer,RMM,0.0069370269775390625,0.015550374984741211,199138002042.0,88475572449.0,0.5578318074941218,1.91424594961102,16
30,book,outer,Left multiply T,0.0020143985748291016,0.0012249946594238281,1621904.0,266793.0,0.5578318074941218,1.91424594961102,16
31,book,outer,Row summation T,0.006745815277099609,0.004630088806152344,1621904.0,266793.0,0.5578318074941218,1.91424594961102,16
32,book,outer,Column summation T,0.013823986053466797,0.004424095153808594,1621904.0,266793.0,0.5578318074941218,1.91424594961102,16
33,book,outer,LMM T,0.006670951843261719,0.02060389518737793,206721604640.0,206708053530.0,0.5578318074941218,1.91424594961102,16
34,book,outer,RMM T,0.02433490753173828,0.08609843254089355,1051233684480.0,225171248960.0,0.5578318074941218,1.91424594961102,16
35,book,outer,Linear Regression,1.0149049758911133,3.2894787788391113,41344320928.0,25756962123.0,0.5578318074941218,1.91424594961102,16
36,expedia,inner,Left multiply,0.036283016204833984,0.009996175765991211,28264260.0,6315618.0,19.24309640522876,1935.3703703703704,16
37,expedia,inner,Row summation,0.02560257911682129,0.026818275451660156,28264260.0,6315618.0,19.24309640522876,1935.3703703703704,16
38,expedia,inner,Column summation,0.08828210830688477,0.03390622138977051,28264260.0,6315618.0,19.24309640522876,1935.3703703703704,16
39,expedia,inner,Materialization,,0.6535944938659668,,,,,16
40,expedia,inner,LMM,0.14910221099853516,0.34824466705322266,492853323040.0,518231103820.0,19.24309640522876,1935.3703703703704,16
41,expedia,inner,RMM,0.04306530952453613,0.07678079605102539,1505046116560.0,357527215516.0,19.24309640522876,1935.3703703703704,16
42,expedia,inner,Left multiply T,0.0374455451965332,0.01354670524597168,28264260.0,6315618.0,19.24309640522876,1935.3703703703704,16
43,expedia,inner,Row summation T,0.08877682685852051,0.03417015075683594,28264260.0,6315618.0,19.24309640522876,1935.3703703703704,16
44,expedia,inner,Column summation T,0.03204154968261719,0.033479928970336914,28264260.0,6315618.0,19.24309640522876,1935.3703703703704,16
45,expedia,inner,LMM T,0.04215264320373535,0.19121837615966797,492853323040.0,492633836620.0,19.24309640522876,1935.3703703703704,16
46,expedia,inner,RMM T,0.480731725692749,0.3135237693786621,35505261926560.0,15287797178596.0,19.24309640522876,1935.3703703703704,16
47,expedia,inner,Linear Regression,9.528600215911865,12.445594310760498,98570664608.0,101086494044.0,19.24309640522876,1935.3703703703704,16
48,expedia,left,Left multiply,0.03906059265136719,0.008573770523071289,28264260.0,6315618.0,19.24309640522876,1935.3703703703704,16
49,expedia,left,Row summation,0.027283191680908203,0.0300600528717041,28264260.0,6315618.0,19.24309640522876,1935.3703703703704,16
50,expedia,left,Column summation,0.08903622627258301,0.04408383369445801,28264260.0,6315618.0,19.24309640522876,1935.3703703703704,16
51,expedia,left,Materialization,,0.7234303951263428,,,,,16
52,expedia,left,LMM,0.15266990661621094,0.42870259284973145,492853323040.0,518231103820.0,19.24309640522876,1935.3703703703704,16
53,expedia,left,RMM,0.04089236259460449,0.14371395111083984,1505046116560.0,357527215516.0,19.24309640522876,1935.3703703703704,16
54,expedia,left,Left multiply T,0.0370941162109375,0.016379594802856445,28264260.0,6315618.0,19.24309640522876,1935.3703703703704,16
55,expedia,left,Row summation T,0.09050178527832031,0.0451202392578125,28264260.0,6315618.0,19.24309640522876,1935.3703703703704,16
56,expedia,left,Column summation T,0.02700638771057129,0.042069196701049805,28264260.0,6315618.0,19.24309640522876,1935.3703703703704,16
57,expedia,left,LMM T,0.04406309127807617,0.28057217597961426,492853323040.0,492633836620.0,19.24309640522876,1935.3703703703704,16
58,expedia,left,RMM T,0.4146087169647217,0.38533639907836914,35505261926560.0,15287797178596.0,19.24309640522876,1935.3703703703704,16
59,expedia,left,Linear Regression,9.456513404846191,17.531649589538574,98570664608.0,101086494044.0,19.24309640522876,1935.3703703703704,16
60,expedia,outer,Left multiply,0.033843994140625,0.011828184127807617,25424940.0,6204558.0,22.67162383290018,1935.3703703703704,16
61,expedia,outer,Row summation,0.0440824031829834,0.031672000885009766,25424940.0,6204558.0,22.67162383290018,1935.3703703703704,16
62,expedia,outer,Column summation,0.08001208305358887,0.04130816459655762,25424940.0,6204558.0,22.67162383290018,1935.3703703703704,16
63,expedia,outer,Materialization,,0.6680216789245605,,,,,16
64,expedia,outer,LMM,0.1384902000427246,0.47637104988098145,492824929840.0,514359033940.0,22.67162383290018,1935.3703703703704,16
65,expedia,outer,RMM,0.04218721389770508,0.12682628631591797,1356600788320.0,351720776596.0,22.67162383290018,1935.3703703703704,16
66,expedia,outer,Left multiply T,0.03330516815185547,0.014029741287231445,25424940.0,6204558.0,22.67162383290018,1935.3703703703704,16
67,expedia,outer,Row summation T,0.0816645622253418,0.04042649269104004,25424940.0,6204558.0,22.67162383290018,1935.3703703703704,16
68,expedia,outer,Column summation T,0.027490615844726562,0.03984785079956055,25424940.0,6204558.0,22.67162383290018,1935.3703703703704,16
69,expedia,outer,LMM T,0.04540681838989258,0.2420637607574463,492824929840.0,492632726020.0,22.67162383290018,1935.3703703703704,16
70,expedia,outer,RMM T,0.49218297004699707,0.30466270446777344,32830219303120.0,15113406694396.0,22.67162383290018,1935.3703703703704,16
71,expedia,outer,Linear Regression,8.634585618972778,16.356696605682373,98564985968.0,100699175996.0,22.67162383290018,1935.3703703703704,16
72,flight,inner,Left multiply,0.001664876937866211,0.00045990943908691406,1386261.0,102900.0,9.676893994474336,682.45,16
73,flight,inner,Row summation,0.001905202865600586,0.0018134117126464844,1386261.0,102900.0,9.676893994474336,682.45,16
74,flight,inner,Column summation,0.0046994686126708984,0.0023703575134277344,1386261.0,102900.0,9.676893994474336,682.45,16
75,flight,inner,Materialization,,0.0926661491394043,,,,,16
76,flight,inner,LMM,0.005936622619628906,0.07543063163757324,9110308730.0,10037492250.0,9.676893994474336,682.45,16
