,dataset,join,operator,time_baseline,time_amalur,complexity_baseline,complexity_amalur,TR,FR,num_cores
0,book,inner,Left multiply,0.0024213790893554688,0.0008554458618164062,2024960.0,333488.0,0.5578323861362363,1.91424594961102,32
1,book,inner,Row summation,0.005470991134643555,0.0030121803283691406,2024960.0,333488.0,0.5578323861362363,1.91424594961102,32
2,book,inner,Column summation,0.006978034973144531,0.004660606384277344,2024960.0,333488.0,0.5578323861362363,1.91424594961102,32
3,book,inner,Materialization,,0.08963918685913086,,,,,32
4,book,inner,LMM,0.0801384449005127,0.03065013885498047,206725635200.0,63576347120.0,0.5578323861362363,1.91424594961102,32
5,book,inner,RMM,0.011453390121459961,0.02409982681274414,232052764170.0,93922086234.0,0.5578323861362363,1.91424594961102,32
6,book,inner,Left multiply T,0.006544351577758789,0.0010499954223632812,2024960.0,333488.0,0.5578323861362363,1.91424594961102,32
7,book,inner,Row summation T,0.04065561294555664,0.004831790924072266,2024960.0,333488.0,0.5578323861362363,1.91424594961102,32
8,book,inner,Column summation T,0.008603572845458984,0.004636526107788086,2024960.0,333488.0,0.5578323861362363,1.91424594961102,32
9,book,inner,LMM T,0.011202096939086914,0.023899078369140625,206725635200.0,206708720480.0,0.5578323861362363,1.91424594961102,32
10,book,inner,RMM T,0.029946088790893555,0.05856943130493164,1153255219200.0,281461340160.0,0.5578323861362363,1.91424594961102,32
11,book,inner,Linear Regression,1.0921344757080078,2.0069262981414795,41345127040.0,27028506760.0,0.5578323861362363,1.91424594961102,32
12,book,left,Left multiply,0.013803243637084961,0.0014843940734863281,2024960.0,333488.0,0.5578323861362363,1.91424594961102,32
13,book,left,Row summation,0.007791757583618164,0.0061147212982177734,2024960.0,333488.0,0.5578323861362363,1.91424594961102,32
14,book,left,Column summation,0.007584571838378906,0.005017995834350586,2024960.0,333488.0,0.5578323861362363,1.91424594961102,32
15,book,left,Materialization,,0.06730771064758301,,,,,32
16,book,left,LMM,0.02858257293701172,0.02145838737487793,206725635200.0,63576347120.0,0.5578323861362363,1.91424594961102,32
17,book,left,RMM,0.008321762084960938,0.048703670501708984,232052764170.0,93922086234.0,0.5578323861362363,1.91424594961102,32
18,book,left,Left multiply T,0.0025010108947753906,0.0009837150573730469,2024960.0,333488.0,0.5578323861362363,1.91424594961102,32
19,book,left,Row summation T,0.007383108139038086,0.00495147705078125,2024960.0,333488.0,0.5578323861362363,1.91424594961102,32
20,book,left,Column summation T,0.007184028625488281,0.00491023063659668,2024960.0,333488.0,0.5578323861362363,1.91424594961102,32
21,book,left,LMM T,0.0070648193359375,0.019397258758544922,206725635200.0,206708720480.0,0.5578323861362363,1.91424594961102,32
22,book,left,RMM T,0.029798507690429688,0.04642987251281738,1153255219200.0,281461340160.0,0.5578323861362363,1.91424594961102,32
23,book,left,Linear Regression,1.0805342197418213,1.5425727367401123,41345127040.0,27028506760.0,0.5578323861362363,1.91424594961102,32
24,book,outer,Left multiply,0.001725912094116211,0.0013790130615234375,1610822.0,266793.0,0.5578318074941218,1.91424594961102,32
25,book,outer,Row summation,0.008332014083862305,0.021701574325561523,1610822.0,266793.0,0.5578318074941218,1.91424594961102,32
26,book,outer,Column summation,0.006398439407348633,0.004702568054199219,1610822.0,266793.0,0.5578318074941218,1.91424594961102,32
