,dataset,join,operator,time_baseline,time_amalur,complexity_baseline,complexity_amalur,TR,FR,num_cores
0,book,inner,Left multiply,0.0018734931945800781,0.0010416507720947266,2024960.0,333488.0,0.5578323861362363,1.91424594961102,4
1,book,inner,Row summation,0.09603500366210938,0.0030837059020996094,2024960.0,333488.0,0.5578323861362363,1.91424594961102,4
2,book,inner,Column summation,0.007241010665893555,0.0046541690826416016,2024960.0,333488.0,0.5578323861362363,1.91424594961102,4
3,book,inner,Materialization,,0.28996801376342773,,,,,4
4,book,inner,LMM,0.02219247817993164,0.26721787452697754,206725635200.0,63576347120.0,0.5578323861362363,1.91424594961102,4
5,book,inner,RMM,0.007204771041870117,0.017833232879638672,232052764170.0,93922086234.0,0.5578323861362363,1.91424594961102,4
6,book,inner,Left multiply T,0.0020623207092285156,0.001520395278930664,2024960.0,333488.0,0.5578323861362363,1.91424594961102,4
7,book,inner,Row summation T,0.0073812007904052734,0.01806044578552246,2024960.0,333488.0,0.5578323861362363,1.91424594961102,4
8,book,inner,Column summation T,0.006928920745849609,0.004869937896728516,2024960.0,333488.0,0.5578323861362363,1.91424594961102,4
9,book,inner,LMM T,0.0073947906494140625,0.46676039695739746,206725635200.0,206708720480.0,0.5578323861362363,1.91424594961102,4
10,book,inner,RMM T,0.02983379364013672,0.24965405464172363,1153255219200.0,281461340160.0,0.5578323861362363,1.91424594961102,4
11,book,inner,Linear Regression,0.9816765785217285,22.218825817108154,41345127040.0,27028506760.0,0.5578323861362363,1.91424594961102,4
12,book,left,Left multiply,0.0023233890533447266,0.001956462860107422,2024960.0,333488.0,0.5578323861362363,1.91424594961102,4
13,book,left,Row summation,0.10332679748535156,0.0069904327392578125,2024960.0,333488.0,0.5578323861362363,1.91424594961102,4
14,book,left,Column summation,0.007039546966552734,0.0047190189361572266,2024960.0,333488.0,0.5578323861362363,1.91424594961102,4
15,book,left,Materialization,,0.17644524574279785,,,,,4
16,book,left,LMM,0.10845375061035156,0.2917914390563965,206725635200.0,63576347120.0,0.5578323861362363,1.91424594961102,4
17,book,left,RMM,0.006971597671508789,0.01790142059326172,232052764170.0,93922086234.0,0.5578323861362363,1.91424594961102,4
18,book,left,Left multiply T,0.001973390579223633,0.0020210742950439453,2024960.0,333488.0,0.5578323861362363,1.91424594961102,4
19,book,left,Row summation T,0.04030418395996094,0.00470423698425293,2024960.0,333488.0,0.5578323861362363,1.91424594961102,4
20,book,left,Column summation T,0.006182432174682617,0.0046384334564208984,2024960.0,333488.0,0.5578323861362363,1.91424594961102,4
21,book,left,LMM T,0.06845927238464355,0.19886064529418945,206725635200.0,206708720480.0,0.5578323861362363,1.91424594961102,4
22,book,left,RMM T,0.030406713485717773,0.2644312381744385,1153255219200.0,281461340160.0,0.5578323861362363,1.91424594961102,4
23,book,left,Linear Regression,1.035651683807373,21.145243167877197,41345127040.0,27028506760.0,0.5578323861362363,1.91424594961102,4
24,book,outer,Left multiply,0.09582638740539551,0.0010573863983154297,1622528.0,266793.0,0.5578318074941218,1.91424594961102,4
25,book,outer,Row summation,0.012950897216796875,0.0037343502044677734,1622528.0,266793.0,0.5578318074941218,1.91424594961102,4
26,book,outer,Column summation,0.005908966064453125,0.0044155120849609375,1622528.0,266793.0,0.5578318074941218,1.91424594961102,4
27,book,outer,Materialization,,0.17065143585205078,,,,,4
28,book,outer,LMM,0.11140823364257812,0.29506468772888184,206721610880.0,50861567700.0,0.5578318074941218,1.91424594961102,4
29,book,outer,RMM,0.007058382034301758,0.020977020263671875,199188959754.0,88475572449.0,0.5578318074941218,1.91424594961102,4
30,book,outer,Left multiply T,0.002025604248046875,0.0013682842254638672,1622528.0,266793.0,0.5578318074941218,1.91424594961102,4
31,book,outer,Row summation T,0.006443023681640625,0.004666805267333984,1622528.0,266793.0,0.5578318074941218,1.91424594961102,4
32,book,outer,Column summation T,0.054602622985839844,0.004439830780029297,1622528.0,266793.0,0.5578318074941218,1.91424594961102,4
33,book,outer,LMM T,0.007730960845947266,0.3715171813964844,206721610880.0,206708053530.0,0.5578318074941218,1.91424594961102,4
