,dataset,join,operator,time_baseline,time_amalur,complexity_baseline,complexity_amalur,TR,FR,num_cores
0,book,inner,Left multiply,0.0033326148986816406,0.001041412353515625,2024960.0,333488.0,0.5578323861362363,1.91424594961102,2
1,book,inner,Row summation,0.005676746368408203,0.0033979415893554688,2024960.0,333488.0,0.5578323861362363,1.91424594961102,2
2,book,inner,Column summation,0.007169008255004883,0.004673004150390625,2024960.0,333488.0,0.5578323861362363,1.91424594961102,2
3,book,inner,Materialization,,0.37972259521484375,,,,,2
4,book,inner,LMM,0.023527860641479492,0.9547338485717773,206725635200.0,63576347120.0,0.5578323861362363,1.91424594961102,2
5,book,inner,RMM,0.019886255264282227,0.039383649826049805,232052764170.0,93922086234.0,0.5578323861362363,1.91424594961102,2
6,book,inner,Left multiply T,0.007378101348876953,0.0009517669677734375,2024960.0,333488.0,0.5578323861362363,1.91424594961102,2
7,book,inner,Row summation T,0.0844728946685791,0.004727363586425781,2024960.0,333488.0,0.5578323861362363,1.91424594961102,2
8,book,inner,Column summation T,0.0057294368743896484,0.08632493019104004,2024960.0,333488.0,0.5578323861362363,1.91424594961102,2
9,book,inner,LMM T,0.015530824661254883,1.7065024375915527,206725635200.0,206708720480.0,0.5578323861362363,1.91424594961102,2
10,book,inner,RMM T,0.03480720520019531,0.9538650512695312,1153255219200.0,281461340160.0,0.5578323861362363,1.91424594961102,2
11,book,inner,Linear Regression,1.1111559867858887,54.87236404418945,41345127040.0,27028506760.0,0.5578323861362363,1.91424594961102,2
12,book,left,Left multiply,0.0020494461059570312,0.0008499622344970703,2024960.0,333488.0,0.5578323861362363,1.91424594961102,2
13,book,left,Row summation,0.0059659481048583984,0.003124237060546875,2024960.0,333488.0,0.5578323861362363,1.91424594961102,2
14,book,left,Column summation,0.006982564926147461,0.004611968994140625,2024960.0,333488.0,0.5578323861362363,1.91424594961102,2
15,book,left,Materialization,,0.2910175323486328,,,,,2
16,book,left,LMM,0.016913414001464844,0.25942277908325195,206725635200.0,63576347120.0,0.5578323861362363,1.91424594961102,2
17,book,left,RMM,0.007105588912963867,0.04664278030395508,232052764170.0,93922086234.0,0.5578323861362363,1.91424594961102,2
18,book,left,Left multiply T,0.002521991729736328,0.0015897750854492188,2024960.0,333488.0,0.5578323861362363,1.91424594961102,2
19,book,left,Row summation T,0.007447719573974609,0.0047800540924072266,2024960.0,333488.0,0.5578323861362363,1.91424594961102,2
20,book,left,Column summation T,0.08951950073242188,0.004649162292480469,2024960.0,333488.0,0.5578323861362363,1.91424594961102,2
21,book,left,LMM T,0.007570028305053711,1.2432537078857422,206725635200.0,206708720480.0,0.5578323861362363,1.91424594961102,2
22,book,left,RMM T,0.029877424240112305,0.8590161800384521,1153255219200.0,281461340160.0,0.5578323861362363,1.91424594961102,2
23,book,left,Linear Regression,1.062488079071045,56.033814668655396,41345127040.0,27028506760.0,0.5578323861362363,1.91424594961102,2
24,book,outer,Left multiply,0.0019752979278564453,0.0012743473052978516,1607871.0,266793.0,0.5578318074941218,1.91424594961102,2
25,book,outer,Row summation,0.006413698196411133,0.0031883716583251953,1607871.0,266793.0,0.5578318074941218,1.91424594961102,2
26,book,outer,Column summation,0.005849599838256836,0.004392385482788086,1607871.0,266793.0,0.5578318074941218,1.91424594961102,2
27,book,outer,Materialization,,0.36306214332580566,,,,,2
