,dataset,join,operator,time_baseline,time_amalur,complexity_baseline,complexity_amalur,TR,FR,num_cores
0,book,inner,Left multiply,0.002031246821085612,0.00030326048533121746,2024960.0,333488.0,0.5578323861362363,1.91424594961102,32
1,book,inner,Row summation,0.006036019325256348,0.002891278266906738,2024960.0,333488.0,0.5578323861362363,1.91424594961102,32
2,book,inner,Column summation,0.0070023695627848305,0.0045149008433024084,2024960.0,333488.0,0.5578323861362363,1.91424594961102,32
3,book,inner,Materialization,,0.07167777220408121,,,,,32
4,book,inner,LMM,0.015819263458251954,0.0517358144124349,206725635200.0,63576347120.0,0.5578323861362363,1.91424594961102,32
5,book,inner,RMM,0.0052211999893188475,0.020160619417826334,232052764170.0,93922086234.0,0.5578323861362363,1.91424594961102,32
6,book,inner,Left multiply T,0.0017736355463663738,0.0003878434499104818,2024960.0,333488.0,0.5578323861362363,1.91424594961102,32
7,book,inner,Row summation T,0.007075444857279459,0.004598013559977214,2024960.0,333488.0,0.5578323861362363,1.91424594961102,32
8,book,inner,Column summation T,0.005282417933146159,0.004549384117126465,2024960.0,333488.0,0.5578323861362363,1.91424594961102,32
9,book,inner,LMM T,0.003905804951985677,0.02805343468983968,206725635200.0,206708720480.0,0.5578323861362363,1.91424594961102,32
10,book,inner,RMM T,0.030429935455322264,0.016987013816833495,1153255219200.0,281461340160.0,0.5578323861362363,1.91424594961102,32
11,book,inner,Linear Regression,1.0146501620610555,1.8681379079818725,41345127040.0,27028506760.0,0.5578323861362363,1.91424594961102,32
12,book,left,Left multiply,0.0014583905537923177,0.0003604729970296224,2024960.0,333488.0,0.5578323861362363,1.91424594961102,32
13,book,left,Row summation,0.006162595748901367,0.0027901570002237955,2024960.0,333488.0,0.5578323861362363,1.91424594961102,32
14,book,left,Column summation,0.006932536760965983,0.004510664939880371,2024960.0,333488.0,0.5578323861362363,1.91424594961102,32
15,book,left,Materialization,,0.06141204833984375,,,,,32
16,book,left,LMM,0.013066577911376952,0.018054993947347005,206725635200.0,63576347120.0,0.5578323861362363,1.91424594961102,32
17,book,left,RMM,0.00446321169535319,0.017025160789489745,232052764170.0,93922086234.0,0.5578323861362363,1.91424594961102,32
18,book,left,Left multiply T,0.0015861034393310548,0.000449824333190918,2024960.0,333488.0,0.5578323861362363,1.91424594961102,32
19,book,left,Row summation T,0.006974148750305176,0.0045400301615397135,2024960.0,333488.0,0.5578323861362363,1.91424594961102,32
20,book,left,Column summation T,0.005543621381123861,0.004543924331665039,2024960.0,333488.0,0.5578323861362363,1.91424594961102,32
21,book,left,LMM T,0.0038873434066772463,0.03137823740641276,206725635200.0,206708720480.0,0.5578323861362363,1.91424594961102,32
22,book,left,RMM T,0.02988271713256836,0.022742780049641927,1153255219200.0,281461340160.0,0.5578323861362363,1.91424594961102,32
23,book,left,Linear Regression,1.0103866974512736,1.9633347749710084,41345127040.0,27028506760.0,0.5578323861362363,1.91424594961102,32
24,book,outer,Left multiply,0.001111133893330892,0.0003018379211425781,1622359.0,266793.0,0.5578318074941218,1.91424594961102,32
25,book,outer,Row summation,0.0073504765828450525,0.0029977877934773763,1622359.0,266793.0,0.5578318074941218,1.91424594961102,32
26,book,outer,Column summation,0.005683509508768717,0.004299473762512207,1622359.0,266793.0,0.5578318074941218,1.91424594961102,32
27,book,outer,Materialization,,0.053124070167541504,,,,,32
28,book,outer,LMM,0.013059186935424804,0.018773357073465984,206721609190.0,50861567700.0,0.5578318074941218,1.91424594961102,32
29,book,outer,RMM,0.00432283878326416,0.011218961079915364,199175158707.0,88475572449.0,0.5578318074941218,1.91424594961102,32
30,book,outer,Left multiply T,0.001139354705810547,0.0003658771514892578,1622359.0,266793.0,0.5578318074941218,1.91424594961102,32
31,book,outer,Row summation T,0.005703147252400716,0.00435181458791097,1622359.0,266793.0,0.5578318074941218,1.91424594961102,32
32,book,outer,Column summation T,0.005984830856323242,0.004347697893778483,1622359.0,266793.0,0.5578318074941218,1.91424594961102,32
33,book,outer,LMM T,0.0037024895350138347,0.026557024319966635,206721609190.0,206708053530.0,0.5578318074941218,1.91424594961102,32
34,book,outer,RMM T,0.026873040199279784,0.024073147773742677,1051348854080.0,225171248960.0,0.5578318074941218,1.91424594961102,32
35,book,outer,Linear Regression,0.8914629300435384,1.643394152323405,41344321838.0,25756962123.0,0.5578318074941218,1.91424594961102,32
36,expedia,inner,Left multiply,0.03658386071523031,0.00795136292775472,28264260.0,6315618.0,19.24309640522876,1935.3703703703704,32
37,expedia,inner,Row summation,0.025635409355163574,0.02650928497314453,28264260.0,6315618.0,19.24309640522876,1935.3703703703704,32
38,expedia,inner,Column summation,0.08835465908050537,0.03291494846343994,28264260.0,6315618.0,19.24309640522876,1935.3703703703704,32
39,expedia,inner,Materialization,,0.48682369391123453,,,,,32
40,expedia,inner,LMM,0.14760464032491047,0.215399432182312,492853323040.0,518231103820.0,19.24309640522876,1935.3703703703704,32
41,expedia,inner,RMM,0.03237166404724121,0.09074873924255371,1505046116560.0,357527215516.0,19.24309640522876,1935.3703703703704,32
42,expedia,inner,Left multiply T,0.03679168224334717,0.009142915407816568,28264260.0,6315618.0,19.24309640522876,1935.3703703703704,32
43,expedia,inner,Row summation T,0.08848745822906494,0.03318054676055908,28264260.0,6315618.0,19.24309640522876,1935.3703703703704,32
