,dataset,join,operator,time_baseline,time_amalur,complexity_baseline,complexity_amalur,TR,FR,num_cores
0,book,inner,Left multiply,0.003195826212565104,0.0025161345799763995,2024960.0,333488.0,0.5578323861362363,1.91424594961102,16
1,book,inner,Row summation,0.005148768424987793,0.0028538227081298826,2024960.0,333488.0,0.5578323861362363,1.91424594961102,16
2,book,inner,Column summation,0.006929485003153483,0.0045079390207926435,2024960.0,333488.0,0.5578323861362363,1.91424594961102,16
3,book,inner,Materialization,,0.13788491090138752,,,,,16
4,book,inner,LMM,0.014992435773213705,0.11791904767354329,206725635200.0,63576347120.0,0.5578323861362363,1.91424594961102,16
5,book,inner,RMM,0.0034369468688964845,0.010529200236002604,232052764170.0,93922086234.0,0.5578323861362363,1.91424594961102,16
6,book,inner,Left multiply T,0.0014393965403238932,0.0004724423090616862,2024960.0,333488.0,0.5578323861362363,1.91424594961102,16
7,book,inner,Row summation T,0.006967671712239583,0.004558881123860677,2024960.0,333488.0,0.5578323861362363,1.91424594961102,16
8,book,inner,Column summation T,0.005309462547302246,0.004561161994934082,2024960.0,333488.0,0.5578323861362363,1.91424594961102,16
9,book,inner,LMM T,0.003962095578511556,0.06327408949534098,206725635200.0,206708720480.0,0.5578323861362363,1.91424594961102,16
10,book,inner,RMM T,0.030362772941589355,0.050027624766031904,1153255219200.0,281461340160.0,0.5578323861362363,1.91424594961102,16
11,book,inner,Linear Regression,0.9937703927357991,4.0823486089706424,41345127040.0,27028506760.0,0.5578323861362363,1.91424594961102,16
12,book,left,Left multiply,0.0034894307454427084,0.0003140370051066081,2024960.0,333488.0,0.5578323861362363,1.91424594961102,16
13,book,left,Row summation,0.005209199587504069,0.0028655529022216797,2024960.0,333488.0,0.5578323861362363,1.91424594961102,16
14,book,left,Column summation,0.006949567794799804,0.004529492060343424,2024960.0,333488.0,0.5578323861362363,1.91424594961102,16
15,book,left,Materialization,,0.12389022509256999,,,,,16
16,book,left,LMM,0.016683745384216308,0.04016590118408203,206725635200.0,63576347120.0,0.5578323861362363,1.91424594961102,16
17,book,left,RMM,0.0033506472905476888,0.01847106615702311,232052764170.0,93922086234.0,0.5578323861362363,1.91424594961102,16
18,book,left,Left multiply T,0.0016412734985351562,0.0003554026285807292,2024960.0,333488.0,0.5578323861362363,1.91424594961102,16
19,book,left,Row summation T,0.0069419225056966145,0.00454858144124349,2024960.0,333488.0,0.5578323861362363,1.91424594961102,16
20,book,left,Column summation T,0.005279088020324707,0.00455171267191569,2024960.0,333488.0,0.5578323861362363,1.91424594961102,16
21,book,left,LMM T,0.003893248240152995,0.055620892842610674,206725635200.0,206708720480.0,0.5578323861362363,1.91424594961102,16
22,book,left,RMM T,0.03174590269724528,0.04131154219309489,1153255219200.0,281461340160.0,0.5578323861362363,1.91424594961102,16
23,book,left,Linear Regression,1.0577702840169272,4.12535928885142,41345127040.0,27028506760.0,0.5578323861362363,1.91424594961102,16
24,book,outer,Left multiply,0.0036129077275594075,0.00027712980906168617,1621540.0,266793.0,0.5578318074941218,1.91424594961102,16
25,book,outer,Row summation,0.005617308616638184,0.003079716364542643,1621540.0,266793.0,0.5578318074941218,1.91424594961102,16
26,book,outer,Column summation,0.005732933680216472,0.004332208633422851,1621540.0,266793.0,0.5578318074941218,1.91424594961102,16
27,book,outer,Materialization,,0.12428966363271078,,,,,16
28,book,outer,LMM,0.012695240974426269,0.11421109040578206,206721601000.0,50861567700.0,0.5578318074941218,1.91424594961102,16
29,book,outer,RMM,0.0031096617380777995,0.01617568333943685,199108276710.0,88475572449.0,0.5578318074941218,1.91424594961102,16
30,book,outer,Left multiply T,0.001141500473022461,0.00037824312845865886,1621540.0,266793.0,0.5578318074941218,1.91424594961102,16
31,book,outer,Row summation T,0.005638003349304199,0.004309662183125814,1621540.0,266793.0,0.5578318074941218,1.91424594961102,16
32,book,outer,Column summation T,0.005604100227355957,0.004314899444580078,1621540.0,266793.0,0.5578318074941218,1.91424594961102,16
33,book,outer,LMM T,0.0037045001983642576,0.05752196311950684,206721601000.0,206708053530.0,0.5578318074941218,1.91424594961102,16
34,book,outer,RMM T,0.026564844449361167,0.05401568412780762,1051141548800.0,225171248960.0,0.5578318074941218,1.91424594961102,16
35,book,outer,Linear Regression,0.8968837102254231,3.9565383354822794,41344320200.0,25756962123.0,0.5578318074941218,1.91424594961102,16
36,expedia,inner,Left multiply,0.036511349678039554,0.007818245887756347,28264260.0,6315618.0,19.24309640522876,1935.3703703703704,16
37,expedia,inner,Row summation,0.025554720560709634,0.02565913200378418,28264260.0,6315618.0,19.24309640522876,1935.3703703703704,16
38,expedia,inner,Column summation,0.08825583457946777,0.033083192507425946,28264260.0,6315618.0,19.24309640522876,1935.3703703703704,16
39,expedia,inner,Materialization,,0.6162580808003744,,,,,16
40,expedia,inner,LMM,0.14896794160207114,0.36972382068634035,492853323040.0,518231103820.0,19.24309640522876,1935.3703703703704,16
41,expedia,inner,RMM,0.044079979260762535,0.08638331095377604,1505046116560.0,357527215516.0,19.24309640522876,1935.3703703703704,16
42,expedia,inner,Left multiply T,0.04820706844329834,0.009859863917032878,28264260.0,6315618.0,19.24309640522876,1935.3703703703704,16
43,expedia,inner,Row summation T,0.08824288845062256,0.03334111372629801,28264260.0,6315618.0,19.24309640522876,1935.3703703703704,16
44,expedia,inner,Column summation T,0.03004625638326009,0.033297491073608396,28264260.0,6315618.0,19.24309640522876,1935.3703703703704,16
45,expedia,inner,LMM T,0.04749620755513509,0.2883578062057495,492853323040.0,492633836620.0,19.24309640522876,1935.3703703703704,16
46,expedia,inner,RMM T,0.3707803169886271,0.30196483929951984,35505261926560.0,15287797178596.0,19.24309640522876,1935.3703703703704,16
47,expedia,inner,Linear Regression,9.57538561820984,12.274683833122253,98570664608.0,101086494044.0,19.24309640522876,1935.3703703703704,16
48,expedia,left,Left multiply,0.03610752423604329,0.008742753664652507,28264260.0,6315618.0,19.24309640522876,1935.3703703703704,16
49,expedia,left,Row summation,0.02676239013671875,0.02924203872680664,28264260.0,6315618.0,19.24309640522876,1935.3703703703704,16
50,expedia,left,Column summation,0.0885386864344279,0.03939079443613688,28264260.0,6315618.0,19.24309640522876,1935.3703703703704,16
51,expedia,left,Materialization,,0.6869105339050293,,,,,16
52,expedia,left,LMM,0.14701979160308837,0.46992400487263997,492853323040.0,518231103820.0,19.24309640522876,1935.3703703703704,16
53,expedia,left,RMM,0.033010315895080564,0.08116113344828288,1505046116560.0,357527215516.0,19.24309640522876,1935.3703703703704,16
54,expedia,left,Left multiply T,0.03640004793802897,0.010114145278930665,28264260.0,6315618.0,19.24309640522876,1935.3703703703704,16
55,expedia,left,Row summation T,0.08835101127624512,0.039171036084493,28264260.0,6315618.0,19.24309640522876,1935.3703703703704,16
56,expedia,left,Column summation T,0.027051719029744466,0.03920493920644124,28264260.0,6315618.0,19.24309640522876,1935.3703703703704,16
57,expedia,left,LMM T,0.03458644549051921,0.3568573315938314,492853323040.0,492633836620.0,19.24309640522876,1935.3703703703704,16
58,expedia,left,RMM T,0.3465569019317627,0.3243478616078695,35505261926560.0,15287797178596.0,19.24309640522876,1935.3703703703704,16
59,expedia,left,Linear Regression,9.367621358235677,16.655615305900575,98570664608.0,101086494044.0,19.24309640522876,1935.3703703703704,16
60,expedia,outer,Left multiply,0.03297765254974365,0.005573201179504395,25430205.0,6204558.0,22.67162383290018,1935.3703703703704,16
61,expedia,outer,Row summation,0.02751036485036214,0.028845890363057455,25430205.0,6204558.0,22.67162383290018,1935.3703703703704,16
62,expedia,outer,Column summation,0.07951632340749105,0.03893899917602539,25430205.0,6204558.0,22.67162383290018,1935.3703703703704,16
63,expedia,outer,Materialization,,0.6331606388092041,,,,,16
64,expedia,outer,LMM,0.10908118883768718,0.2638319412867228,492824982490.0,514359033940.0,22.67162383290018,1935.3703703703704,16
65,expedia,outer,RMM,0.029082616170247395,0.1100304365158081,1356876053050.0,351720776596.0,22.67162383290018,1935.3703703703704,16
66,expedia,outer,Left multiply T,0.03295317490895589,0.006553753217061361,25430205.0,6204558.0,22.67162383290018,1935.3703703703704,16
67,expedia,outer,Row summation T,0.07981309096018473,0.038929168383280435,25430205.0,6204558.0,22.67162383290018,1935.3703703703704,16
68,expedia,outer,Column summation T,0.02700780232747396,0.03889981110890706,25430205.0,6204558.0,22.67162383290018,1935.3703703703704,16
69,expedia,outer,LMM T,0.031232404708862304,0.3207025210062663,492824982490.0,492632726020.0,22.67162383290018,1935.3703703703704,16
70,expedia,outer,RMM T,0.31023194789886477,0.29635607401529945,32835179680750.0,15113406694396.0,22.67162383290018,1935.3703703703704,16
71,expedia,outer,Linear Regression,8.520654956499735,16.699916434288024,98564996498.0,100699175996.0,22.67162383290018,1935.3703703703704,16
72,flight,inner,Left multiply,0.0030362526575724285,0.000374452273050944,1386261.0,102900.0,9.676893994474336,682.45,16
73,flight,inner,Row summation,0.0040561437606811525,0.0017420848210652669,1386261.0,102900.0,9.676893994474336,682.45,16
74,flight,inner,Column summation,0.004468488693237305,0.0022998412450154623,1386261.0,102900.0,9.676893994474336,682.45,16
75,flight,inner,Materialization,,0.0576838493347168,,,,,16
76,flight,inner,LMM,0.010725045204162597,0.015564417839050293,9110308730.0,10037492250.0,9.676893994474336,682.45,16
77,flight,inner,RMM,0.0058568795522054035,0.005920592943827311,20817217219.0,3274955710.0,9.676893994474336,682.45,16
78,flight,inner,Left multiply T,0.0006650447845458985,0.0003453811009724935,1386261.0,102900.0,9.676893994474336,682.45,16
79,flight,inner,Row summation T,0.004448072115580241,0.0023255109786987304,1386261.0,102900.0,9.676893994474336,682.45,16
80,flight,inner,Column summation T,0.0018165191014607748,0.002328030268351237,1386261.0,102900.0,9.676893994474336,682.45,16
81,flight,inner,LMM T,0.0015858332316080728,0.030204113324483237,9110308730.0,9097475120.0,9.676893994474336,682.45,16
82,flight,inner,RMM T,0.01958935260772705,0.03718773523966471,136539260068.0,55710658200.0,9.676893994474336,682.45,16
83,flight,inner,Linear Regression,0.4988314708073934,1.6377402623494466,1822061746.0,1913496737.0,9.676893994474336,682.45,16
84,flight,left,Left multiply,0.0007714589436848958,0.0024201631546020507,1386261.0,102900.0,9.676893994474336,682.45,16
85,flight,left,Row summation,0.004227328300476074,0.001852091153462728,1386261.0,102900.0,9.676893994474336,682.45,16
86,flight,left,Column summation,0.004461312294006347,0.002773547172546387,1386261.0,102900.0,9.676893994474336,682.45,16
87,flight,left,Materialization,,0.06014285882314046,,,,,16
88,flight,left,LMM,0.010973763465881348,0.016261982917785644,9110308730.0,10037492250.0,9.676893994474336,682.45,16
89,flight,left,RMM,0.0036529858907063803,0.009200628598531086,20817217219.0,3274955710.0,9.676893994474336,682.45,16
90,flight,left,Left multiply T,0.0006886720657348633,0.0003545204798380534,1386261.0,102900.0,9.676893994474336,682.45,16
91,flight,left,Row summation T,0.004448151588439942,0.0028172731399536133,1386261.0,102900.0,9.676893994474336,682.45,16
92,flight,left,Column summation T,0.0018008788426717123,0.0028116782506306965,1386261.0,102900.0,9.676893994474336,682.45,16
93,flight,left,LMM T,0.001602021853129069,0.029589374860127766,9110308730.0,9097475120.0,9.676893994474336,682.45,16
94,flight,left,RMM T,0.019404053688049316,0.0370301087697347,136539260068.0,55710658200.0,9.676893994474336,682.45,16
95,flight,left,Linear Regression,0.4965678215026855,1.963122344017029,1822061746.0,1913496737.0,9.676893994474336,682.45,16
96,flight,outer,Left multiply,0.0027344544728597005,0.0003524700800577799,1303528.0,98469.0,10.657911595131326,682.45,16
97,flight,outer,Row summation,0.0041214386622111,0.001969138781229655,1303528.0,98469.0,10.657911595131326,682.45,16
98,flight,outer,Column summation,0.004202461242675782,0.0027783870697021484,1303528.0,98469.0,10.657911595131326,682.45,16
